iter	Passed	Remaining
0	148	148242
1	149	74454
2	149	49829
3	150	37494
4	151	30101
5	151	25159
6	152	21635
7	153	19005
8	154	16960
9	154	15318
10	155	13970
11	156	12850
12	156	11900
13	157	11086
14	158	10379
15	158	9764
16	159	9220
17	160	8739
18	160	8307
19	161	7916
20	162	7564
21	162	7243
22	163	6948
23	164	6680
24	164	6432
25	165	6205
26	166	5993
27	167	5797
28	167	5614
29	168	5448
30	169	5290
31	169	5140
32	170	4997
33	171	4864
34	171	4737
35	172	4617
36	173	4504
37	173	4398
38	174	4298
39	175	4202
40	175	4111
41	176	4025
42	177	3941
43	177	3861
44	178	3786
45	179	3714
46	179	3645
47	180	3581
48	181	3518
49	181	3456
50	182	3397
51	183	3340
52	183	3285
53	184	3233
54	185	3181
55	185	3132
56	186	3084
57	187	3039
58	187	2994
59	188	2951
60	189	2909
61	189	2869
62	190	2830
63	190	2792
64	191	2755
65	192	2720
66	192	2685
67	193	2648
68	193	2615
69	194	2583
70	195	2553
71	195	2523
72	196	2494
73	197	2466
74	197	2438
75	198	2410
76	198	2384
77	199	2358
78	200	2332
79	200	2307
80	201	2283
81	201	2260
82	202	2237
83	203	2214
84	203	2190
85	204	2169
86	204	2146
87	205	2126
88	205	2106
89	206	2087
90	207	2068
91	207	2049
92	208	2031
93	208	2013
94	209	1996
95	210	1979
96	210	1962
97	211	1945
98	211	1928
99	212	1913
100	213	1897
101	213	1880
102	214	1865
103	214	1850
104	215	1836
105	216	1822
106	216	1808
107	217	1794
108	217	1781
109	218	1768
110	219	1755
111	219	1743
112	220	1730
113	221	1718
114	221	1706
115	222	1693
116	222	1682
117	223	1671
118	224	1659
119	224	1648
120	225	1638
121	226	1627
122	226	1615
123	227	1604
124	227	1594
125	228	1584
126	229	1575
127	229	1564
128	230	1554
129	230	1545
130	231	1537
131	232	1528
132	233	1519
133	233	1511
134	234	1502
135	235	1494
136	235	1486
137	236	1476
138	237	1468
139	237	1460
140	238	1452
141	239	1444
142	239	1436
143	240	1429
144	241	1421
145	241	1413
146	242	1406
147	243	1399
148	243	1392
149	244	1385
150	245	1377
151	245	1370
152	246	1364
153	247	1357
154	247	1350
155	248	1344
156	249	1337
157	249	1331
158	250	1325
159	251	1319
160	251	1312
161	252	1308
162	253	1303
163	254	1297
164	255	1292
165	256	1287
166	256	1281
167	257	1275
168	258	1269
169	258	1264
170	259	1258
171	260	1252
172	261	1247
173	261	1242
174	262	1237
175	263	1232
176	263	1226
177	264	1221
178	265	1216
179	265	1210
180	266	1204
181	266	1198
182	267	1195
183	268	1190
184	269	1185
185	269	1180
186	270	1175
187	271	1171
188	271	1166
189	272	1161
190	272	1156
191	273	1151
192	274	1146
193	275	1142
194	275	1138
195	276	1133
196	277	1129
197	277	1124
198	278	1120
199	279	1116
200	279	1111
201	280	1107
202	280	1103
203	281	1098
204	282	1094
205	282	1090
206	283	1086
207	284	1082
208	284	1078
209	285	1074
210	286	1070
211	286	1066
212	287	1062
213	288	1058
214	288	1054
215	289	1051
216	290	1047
217	290	1043
218	291	1040
219	292	1036
220	292	1032
221	293	1028
222	294	1025
223	294	1021
224	295	1017
225	296	1014
226	296	1010
227	297	1007
228	298	1003
229	298	1000
230	299	997
231	300	993
232	300	990
233	301	986
234	302	983
235	302	980
236	303	976
237	304	973
238	304	970
239	305	966
240	305	963
241	306	960
242	307	957
243	307	954
244	308	951
245	309	948
246	309	944
247	310	941
248	311	938
249	311	935
250	312	932
251	313	929
252	313	926
253	314	923
254	315	920
255	315	917
256	316	914
257	317	912
258	317	909
259	318	906
260	319	904
261	319	901
262	320	898
263	321	896
264	322	893
265	322	890
266	323	888
267	324	885
268	324	882
269	325	879
270	326	877
271	326	874
272	327	871
273	328	869
274	328	866
275	329	864
276	330	861
277	330	858
278	331	856
279	331	853
280	332	851
281	333	848
282	333	846
283	334	843
284	335	841
285	335	838
286	336	836
287	337	833
288	338	831
289	338	829
290	339	826
291	339	824
292	340	821
293	341	819
294	341	817
295	342	814
296	343	812
297	343	810
298	344	807
299	345	805
300	345	803
301	346	801
302	347	798
303	348	796
304	348	794
305	349	792
306	350	790
307	350	788
308	351	786
309	352	784
310	353	782
311	353	779
312	354	777
313	354	775
314	355	773
315	356	770
316	356	768
317	357	766
318	358	764
319	358	762
320	359	760
321	360	758
322	360	756
323	361	754
324	362	752
325	362	750
326	363	748
327	364	746
328	364	744
329	365	742
330	366	740
331	366	738
332	367	735
333	368	733
334	368	731
335	369	729
336	369	727
337	370	725
338	371	723
339	371	721
340	372	720
341	373	718
342	374	716
343	374	714
344	375	712
345	375	710
346	376	708
347	377	706
348	378	705
349	378	703
350	379	701
351	379	699
352	380	697
353	381	695
354	381	693
355	382	692
356	383	690
357	383	688
358	384	686
359	385	685
360	385	683
361	386	681
362	387	679
363	387	677
364	388	675
365	389	674
366	389	672
367	390	670
368	391	668
369	391	667
370	392	665
371	393	664
372	393	662
373	394	660
374	395	658
375	396	657
376	396	655
377	397	653
378	397	652
379	398	650
380	399	648
381	399	646
382	400	645
383	401	643
384	401	641
385	402	640
386	403	638
387	403	636
388	404	635
389	405	633
390	405	631
391	406	630
392	406	628
393	407	626
394	408	625
395	408	623
396	409	622
397	410	620
398	410	618
399	411	617
400	412	615
401	412	614
402	413	612
403	414	611
404	414	609
405	415	607
406	416	606
407	416	604
408	417	603
409	418	601
410	418	600
411	419	598
412	420	596
413	420	595
414	421	594
415	422	592
416	422	590
417	423	589
418	423	587
419	424	586
420	425	584
421	425	583
422	426	581
423	427	580
424	427	578
425	428	577
426	429	576
427	430	574
428	430	573
429	431	571
430	431	570
431	432	568
432	433	567
433	433	565
434	434	564
435	435	563
436	436	561
437	436	560
438	437	559
439	438	557
440	438	556
441	439	554
442	440	553
443	440	552
444	441	550
445	442	549
446	442	547
447	443	546
448	444	545
449	444	543
450	445	542
451	446	540
452	446	539
453	447	538
454	448	536
455	448	535
456	449	534
457	450	532
458	450	531
459	451	529
460	452	528
461	452	527
462	453	525
463	454	524
464	454	523
465	455	521
466	456	520
467	456	519
468	457	517
469	457	516
470	458	515
471	459	513
472	459	512
473	460	511
474	461	509
475	461	508
476	462	507
477	463	505
478	463	504
479	464	503
480	465	502
481	466	500
482	466	499
483	467	498
484	467	496
485	468	495
486	469	494
487	469	493
488	470	491
489	471	490
490	471	489
491	472	487
492	473	486
493	473	485
494	474	484
495	475	483
496	475	481
497	476	480
498	477	479
499	477	477
500	478	476
501	479	475
502	480	474
503	480	473
504	481	471
505	482	470
506	482	469
507	483	468
508	484	467
509	484	465
510	485	464
511	486	463
512	487	462
513	487	461
514	488	459
515	489	458
516	489	457
517	490	456
518	490	454
519	491	453
520	492	452
521	492	451
522	493	449
523	493	448
524	494	447
525	495	446
526	495	445
527	496	443
528	497	442
529	497	441
530	498	440
531	499	439
532	499	438
533	500	436
534	501	435
535	501	434
536	502	433
537	503	432
538	503	430
539	504	429
540	505	428
541	505	427
542	506	426
543	507	425
544	507	424
545	508	422
546	509	421
547	509	420
548	510	419
549	510	418
550	511	416
551	512	415
552	512	414
553	513	413
554	514	412
555	515	411
556	515	410
557	516	409
558	517	407
559	517	406
560	518	405
561	519	404
562	519	403
563	520	402
564	521	401
565	521	400
566	522	398
567	523	397
568	523	396
569	524	395
570	525	394
571	525	393
572	526	392
573	527	391
574	527	390
575	528	389
576	529	388
577	529	386
578	530	385
579	531	384
580	531	383
581	532	382
582	533	381
583	533	380
584	534	379
585	535	378
586	535	377
587	536	375
588	537	374
589	537	373
590	538	372
591	539	371
592	539	370
593	540	369
594	541	368
595	541	367
596	542	366
597	543	365
598	543	364
599	544	363
600	545	362
601	545	360
602	546	359
603	547	358
604	547	357
605	548	356
606	549	355
607	549	354
608	550	353
609	551	352
610	551	351
611	552	350
612	553	349
613	553	348
614	554	347
615	555	346
616	555	345
617	556	343
618	557	342
619	557	341
620	558	340
621	559	339
622	559	338
623	560	337
624	561	336
625	561	335
626	562	334
627	563	333
628	563	332
629	564	331
630	565	330
631	565	329
632	566	328
633	567	327
634	567	326
635	568	325
636	569	324
637	569	323
638	570	322
639	571	321
640	571	320
641	572	319
642	573	318
643	573	317
644	574	316
645	574	315
646	575	314
647	576	313
648	576	311
649	577	310
650	578	309
651	578	308
652	579	307
653	580	306
654	580	305
655	581	304
656	582	303
657	582	302
658	583	301
659	584	300
660	584	299
661	585	298
662	586	297
663	586	296
664	587	295
665	587	294
666	588	293
667	589	292
668	590	291
669	590	290
670	591	289
671	592	289
672	592	288
673	593	287
674	594	286
675	594	285
676	595	284
677	596	283
678	596	282
679	597	281
680	598	280
681	598	279
682	599	278
683	600	277
684	600	276
685	601	275
686	602	274
687	602	273
688	603	272
689	604	271
690	604	270
691	605	269
692	606	268
693	606	267
694	607	266
695	607	265
696	608	264
697	609	263
698	609	262
699	610	261
700	611	260
701	612	259
702	612	258
703	613	257
704	614	257
705	614	255
706	615	255
707	616	254
708	616	253
709	617	252
710	618	251
711	618	250
712	619	249
713	619	248
714	620	247
715	621	246
716	621	245
717	622	244
718	623	243
719	623	242
720	624	241
721	625	240
722	625	239
723	626	238
724	627	237
725	627	236
726	628	236
727	629	235
728	630	234
729	630	233
730	631	232
731	632	231
732	632	230
733	633	229
734	634	228
735	634	227
736	635	226
737	635	225
738	636	224
739	637	223
740	637	222
741	638	222
742	639	221
743	639	220
744	640	219
745	641	218
746	641	217
747	642	216
748	643	215
749	644	214
750	644	213
751	645	212
752	646	211
753	646	211
754	647	210
755	648	209
756	648	208
757	649	207
758	650	206
759	650	205
760	651	204
761	652	203
762	653	202
763	653	201
764	654	201
765	655	200
766	655	199
767	656	198
768	657	197
769	658	196
770	658	195
771	659	194
772	660	193
773	660	192
774	661	192
775	662	191
776	662	190
777	663	189
778	664	188
779	665	187
780	665	186
781	666	185
782	667	184
783	667	183
784	668	183
785	669	182
786	669	181
787	670	180
788	671	179
789	671	178
790	672	177
791	673	176
792	674	175
793	674	175
794	675	174
795	676	173
796	677	172
797	677	171
798	678	170
799	679	169
800	679	168
801	680	167
802	681	167
803	681	166
804	682	165
805	683	164
806	683	163
807	684	162
808	685	161
809	685	160
810	686	159
811	687	159
812	687	158
813	688	157
814	689	156
815	690	155
816	690	154
817	691	153
818	692	152
819	692	152
820	693	151
821	693	150
822	694	149
823	695	148
824	695	147
825	696	146
826	697	145
827	698	144
828	698	144
829	699	143
830	700	142
831	700	141
832	701	140
833	702	139
834	702	138
835	703	137
836	704	137
837	704	136
838	705	135
839	706	134
840	706	133
841	707	132
842	708	131
843	709	131
844	709	130
845	710	129
846	711	128
847	711	127
848	712	126
849	713	125
850	713	124
851	714	124
852	715	123
853	715	122
854	716	121
855	717	120
856	717	119
857	718	118
858	719	118
859	719	117
860	720	116
861	720	115
862	721	114
863	722	113
864	722	112
865	723	111
866	724	111
867	724	110
868	725	109
869	726	108
870	726	107
871	727	106
872	728	105
873	728	105
874	729	104
875	730	103
876	730	102
877	731	101
878	732	100
879	732	99
880	733	99
881	734	98
882	734	97
883	735	96
884	736	95
885	736	94
886	737	93
887	738	93
888	738	92
889	739	91
890	739	90
891	740	89
892	741	88
893	741	87
894	742	87
895	743	86
896	743	85
897	744	84
898	745	83
899	745	82
900	746	82
901	746	81
902	747	80
903	748	79
904	749	78
905	749	77
906	750	76
907	751	76
908	751	75
909	752	74
910	753	73
911	753	72
912	754	71
913	754	71
914	755	70
915	756	69
916	756	68
917	757	67
918	758	66
919	758	65
920	759	65
921	760	64
922	760	63
923	761	62
924	762	61
925	762	60
926	763	60
927	764	59
928	764	58
929	765	57
930	765	56
931	766	55
932	767	55
933	767	54
934	768	53
935	769	52
936	769	51
937	770	50
938	771	50
939	771	49
940	772	48
941	772	47
942	773	46
943	774	45
944	774	45
945	775	44
946	776	43
947	776	42
948	777	41
949	777	40
950	778	40
951	779	39
952	779	38
953	780	37
954	781	36
955	781	35
956	782	35
957	783	34
958	783	33
959	784	32
960	785	31
961	786	31
962	786	30
963	787	29
964	788	28
965	788	27
966	789	26
967	789	26
968	790	25
969	791	24
970	791	23
971	792	22
972	793	22
973	793	21
974	794	20
975	795	19
976	795	18
977	796	17
978	797	17
979	797	16
980	798	15
981	799	14
982	799	13
983	800	13
984	801	12
985	801	11
986	802	10
987	803	9
988	804	8
989	804	8
990	805	7
991	805	6
992	806	5
993	807	4
994	807	4
995	808	3
996	809	2
997	809	1
998	810	0
999	811	0
